nodo_id,nombre_visible,handle,total_likes_recibidos,total_replies_recibidas,tipo,channel_id,category,view_count
UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,/@lidiarodriguez3493,0.0,0.0,autor,,,
UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,/@alhvi,3.0,0.0,autor,,,
UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,/@OsvaldoAguirre-l3i,0.0,0.0,autor,,,
UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,/@lizardomorataya8274,0.0,0.0,autor,,,
UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,/@hectoroliva949,0.0,0.0,autor,,,
UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,/@federicosaquimux1933,1.0,0.0,autor,,,
UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,/@luisletona2842,2.0,0.0,autor,,,
UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,/@luisgpacheco5858,0.0,0.0,autor,,,
UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,/@cuabatzjj5924,0.0,0.0,autor,,,
UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,/@laboratorio5528,1.0,0.0,autor,,,
UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,/@anibalg47,7.0,0.0,autor,,,
UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,/@ArielRodas-g5y,2.0,0.0,autor,,,
UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,/@dorisl.garciaroche7763,2.0,1.0,autor,,,
UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,/@denilsonlopez4083,0.0,0.0,autor,,,
UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,/@arielsarc09,3.0,0.0,autor,,,
UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,/@allanmunoz7410,0.0,0.0,autor,,,
UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,/@diegoalejandrolopezmendez205,2.0,0.0,autor,,,
UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,/@HaroldoCastillo-rh9iw,3.0,0.0,autor,,,
UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,/@eddymunoz9789,1.0,1.0,autor,,,
UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,/@JuanDavila-qd7qj,10.0,0.0,autor,,,
UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,/@vitalianochavez8382,1.0,0.0,autor,,,
UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,/@karensussetteleonvargas9794,0.0,0.0,autor,,,
UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,/@ronaldgarcia8522,1.0,0.0,autor,,,
UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,/@pasionpornada,2.0,1.0,autor,,,
UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,/@juliogutierrez492,0.0,0.0,autor,,,
UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,/@Jos%C3%A9Lopez-g6k,0.0,0.0,autor,,,
UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,/@samuelaguilar529,211.0,3.0,autor,,,
UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,/@FidelZacarias-ph7dy,2.0,0.0,autor,,,
UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,/@noemiherrera3152,0.0,0.0,autor,,,
UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,/@crislexrubi4387,16.0,0.0,autor,,,
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,/@virgiliogarcia3039,14.0,0.0,autor,,,
UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,/@caminoseternos752,0.0,0.0,autor,,,
UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,/@fredymendez1786,3.0,0.0,autor,,,
UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,/@Hernandez-i1o,1.0,0.0,autor,,,
UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,/@jeanmorales1677,1.0,0.0,autor,,,
UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,/@carlitosramirez4739,0.0,0.0,autor,,,
UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,/@susievidal4134,3.0,0.0,autor,,,
UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,/@JoseReyes-rn6sh,14.0,1.0,autor,,,
UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,/@ULJoshmg2011,0.0,0.0,autor,,,
UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,/@alfonsowilian9157,0.0,0.0,autor,,,
UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,/@mireyamorales6595,0.0,0.0,autor,,,
UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,/@rotorairgroup8409,0.0,0.0,autor,,,
UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,/@raquelprado3643,8.0,0.0,autor,,,
UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,/@elmorodriguez6978,20.0,0.0,autor,,,
UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,/@kanterra4584,24.0,0.0,autor,,,
UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,/@jorgecifuentes-m5g,3.0,1.0,autor,,,
UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,/@guillermogonzalez5153,7.0,0.0,autor,,,
UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,/@JoelReynoso-d4r,0.0,0.0,autor,,,
UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,/@danielantoniogonzalezflore4901,0.0,0.0,autor,,,
UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,/@carlosmedranovelasquez6380,2.0,0.0,autor,,,
UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,/@LE_A22,1.0,0.0,autor,,,
UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,/@juandeleon9060,3.0,1.0,autor,,,
UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,/@Santiago.Nolasco,2.0,0.0,autor,,,
UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,/@vanigomez492,3.0,0.0,autor,,,
UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,/@eustaquiogomez9975,0.0,0.0,autor,,,
UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,/@elsalvador3605,3.0,0.0,autor,,,
UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,/@nicelol5241,0.0,0.0,autor,,,
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,/@welfrealdana5559,4.0,0.0,autor,,,
UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,/@luisroldan7374,2.0,1.0,autor,,,
UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,/@OscarHernandez-q8y,4.0,0.0,autor,,,
UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,/@franciscorodas9686,1.0,0.0,autor,,,
UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,/@hendersonlopez3864,3.0,0.0,autor,,,
UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,/@AndresMedina-v1s,0.0,0.0,autor,,,
UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,/@elizabethmonterroso7719,0.0,0.0,autor,,,
UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,/@BelkisRodriguezRamirez,2.0,3.0,autor,,,
UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,/@kevinochoa3695,1.0,1.0,autor,,,
UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,/@lyacausa,1.0,0.0,autor,,,
UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,/@elioelias7267,0.0,0.0,autor,,,
UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,/@Ripped-Yoda,0.0,0.0,autor,,,
